gm,wm,csf,brain
14.5139031,58.43672699,2.467107423,12.94286188
14.63411513,82.53192341,2.647034495,13.9598081
14.59166572,67.3967121,4.947493194,14.76227226
14.33991342,76.90943908,5.487540792,14.64227705
14.74984856,79.94534929,6.513304886,14.64215255
12.2253836,70.09512886,4.031041649,14.59749771
67.20725412,79.41029015,3.332018327,14.59189746
115.1570353,85.34817001,5.230661768,14.57524935
93.56484821,75.7416984,5.216781665,14.53143171
109.359222,86.99910395,6.022391138,14.52082425
14.66259962,81.37673119,5.197153588,14.44378423
14.70483615,72.78640897,4.239558976,14.40713846
14.77883701,62.45474586,3.722084417,14.01611387
14.77486332,77.19989353,2.023836211,42.59684196
14.63873816,75.68614483,6.006515623,108.3858975
14.61250108,68.43369722,3.81234304,126.2653138
13.93853898,67.85448173,6.87112957,81.58511062
14.41775691,85.13821934,3.853812808,109.4905275
14.71792157,72.570838,4.436407466,125.7746191
14.61599911,78.77140016,2.810066969,14.64213496
14.68058577,81.89283222,2.190576273,14.6768165
14.5631657,76.98244646,2.015418949,14.69076991
14.46982807,63.4878603,5.867271777,14.69486334
14.40659396,60.05125383,5.001538395,14.72252893
14.73373811,71.81449329,5.296262447,14.49983428
10.55994189,75.82786042,5.532782132,13.48318657
99.75817007,82.60290771,4.807934887,13.18581958
105.9479214,86.4856215,3.123818217,11.54329552
100.9779368,92.85348774,6.11187577,9.534004335
105.3605477,61.47572793,4.064234252,14.28359615
89.45784594,71.51501186,5.094041671,14.63941889
14.64856761,77.24059218,2.775577257,14.51945218
14.76062788,64.28940866,3.596820093,14.70363509
14.76127672,54.5286789,3.00385837,14.5139031
14.54966014,39.57010069,4.457562126,14.63411513
14.42748753,59.24418682,5.322257471,14.55775879
14.43534518,68.24596928,4.330394343,14.59166572
14.52010225,65.83191153,4.707876535,14.33991342
14.44082753,64.21217502,4.002012221,14.74984856
14.31494943,28.38496675,3.588683792,14.76329232
14.608471,71.40473169,2.665221707,12.2253836
14.55880858,35.71879648,2.30250939,67.20725412
14.61373588,42.12886421,2.918437966,115.1570353
14.60650466,60.33168907,5.183461496,93.56484821
14.52393412,50.28963327,3.924129971,109.359222
14.46623308,59.93311572,3.483168703,118.6918196
14.49335514,54.65758035,2.391733089,116.2951009
